naam,url,categorie
https://binahandmade.com,Binahandmade keramiek,Lifestyle
https://www.huisvantrinette.be/,Huis van Trinette,Cadeau
http://vitalisshop.be/,Vitalis outdoor living shop,Tuin
https://zuiderhuis.be/,Zuiderhuis,"Vrije Tijd, Sport & Reizen"
https://www.cocoandpine.be,coco & pine,Baby
http://www.droomdoos.eu,Droomdoos,"Baby, Kind & Speelgoed"
https://www.4dogsandcats.be,4dogsandcats,Dierenvoeding
http://www.inspirewebshop.be,Inspiré,Accessoires
https://www.aquatron.shop,Aquatron,Mooi & Gezond
http://shop.maniet.be/nl/,Maniet,"Mode, Schoenen & Juwelen"
https://www.alphapharma.be/,alphapharma.be,Pharma
https://larmuseaunaaimachines.be,Larmuseau naaimachines,Naaien & Breien
https://www.deeeuwigelente.be,De Eeuwige Lente,Bloemen
https://bloemenrechtvandekweker.be/,Bloemen recht van de kweker,Bloemen
https://verocurtains.be,vero curtains,Textiel
https://www.damart.be,Damart,"Mode, Schoenen & Juwelen"
http://scubaxp.shop,ScubaXP Duikwinkel en Duikschool,Cadeau
https://www.rudesco.be,RUDESCO,"Tuin, Dier & Klussen"
https://www.marechal.shop,Maréchal,"Baby, Kind & Speelgoed"
https://www.dewasbareluier.be,De Wasbare Luier,Baby
https://www.ourfilosophie.com,Filosophie ,Cadeau
https://www.etikettenoprol.be,Etiketten op rol,Cadeau & Inspiratie
https://daskunst.be/kunstfabriekhome/,Kunstfabriek@home,"Baby, Kind & Speelgoed"
http://wonderwall.be/,Wonderwall,"Wonen, Koken & Huishouden"
https://www.atelierbebe.be,Atelier BéBé,Baby
https://www.castard.be,Www.castard.be,"Baby, Kind & Speelgoed"
http://www.littlelissy.be/,Little Lissy,"Mode, Schoenen & Juwelen"
https://manja.lingeriestyling.be/,Lingerstyle Manja,"Mode, Schoenen & Juwelen"
http://www.designiswolf.com/,Design Wolf,"Wonen, Koken & Huishouden"
http://shop-uitgeverij-muurkranten.omnisoftonline.be/NL/Product/Index?CatCode=KP,Muurkranten ,Wenskaarten
http://www.destikkieshop.be,"De Cadeaushop, De Stikkieshop",Cadeau & Inspiratie
https://www.oinos.be,Wijnhuis Oinos,Alcoholische drank
https://www.bcosy.be/,Bcosy,Cadeau
http://vitalisshop.be/,Vitalis outdoor living shop,Tuin
https://www.torfs.be/,Torfs,"Mode, Schoenen & Juwelen"
https://www.uitgeverijhetpunt.be,Uitgeverij Het Punt,Boeken & Strips 
https://www.milways.be,Milways,Wenskaarten
https://www.blijfinuwkotshop.be/,Blijf in uw kot shop,Voeding & Drank
https://kabinet-o.com/wwwinkel/,Kabinet 0,"Baby, Kind & Speelgoed"
https://www.snowvision.net,SnowVision,Accessoires
https://www.sanjoya.eu,Sanjoya,Cadeau
http://www.ericsocks.be/,Eric Socks,"Mode, Schoenen & Juwelen"
http://visjesenco.com/index.php/,Visjes & co,"Baby, Kind & Speelgoed"
https://www.momentcontent.be/,Moment Content,Cadeau & Inspiratie
https://beleefatelierc.com/winkel/,www.beleefatelierc.com,Speelgoed
https://www.curtres.be,Lingerie Curtres,Lingerie
https://www.voices.be,Voices.be - je voicemail laten inspreken door de mooiste stemmen,Kantoor
http://www.maisonm-m.be,Maison M.,Cadeau & Inspiratie
https://www.bollywolly.be,BollyWolly,Damesmode
https://www.eventarent.be,Eventa Rent,Vrije Tijd
https://www.san-thee.be,San-Thee,Voeding & Drank
https://www.gorgelicious.be,Gorgelicious,"Mode, Schoenen & Juwelen"
https://zuiderhuis.be/,Zuiderhuis,"Vrije Tijd, Sport & Reizen"
https://www.kash-po.be,Kash-Po,Bloemen
https://www.panamarenkoshop.com/nl/edities/#,Panamarenko Shop,Fotografie
http://www.siemens-home.bsh-group.com/be/nl/shop,Siemens,Computer & Elektronica
https://www.zeb.be/fashion/?tt=30920_12_121585_&r=%2F,Zeb,"Baby, Kind & Speelgoed"
http://www.apotheekvidafar.be,Apotheek Vidafar,Pharma
https://www.studiostiel.be/winkel,Studio Stiel,Baby
https://graanmarkt13.com/,Graanmarkt 13,"Mode, Schoenen & Juwelen"
https://www.deurklinkenshop.be/nl/,Deurklinkenshop,"Tuin, Dier & Klussen"
https://www.carolinebiss.com/nl,Caroline Biss,"Mode, Schoenen & Juwelen"
https://www.codima.be/,Codima,Computer & Elektronica
https://de-amarant.be/winkel/,De Amarant,Cadeau & Inspiratie
https://healthybody.be/shop/,Healthy body,Mooi & Gezond
https://www.legoutdescouleurs.be,Les Goût Des Couleurs,"Wonen, Koken & Huishouden"
https://vanhoofservices.net/webshop,Van Hoof Services,Vrije Tijd
https://www.lagambarossa.com,La Gamba Rossa ,"Baby, Kind & Speelgoed"
https://www.feeerieke.be/,Feeërieke,"Baby, Kind & Speelgoed"
https://www.medard.shop,Médard,"Mode, Schoenen & Juwelen"
https://www.galicia.shop,Galicia,"Vrije Tijd, Sport & Reizen"
https://shop.fo-en-fie.be/home,Fo & Fie,Kinderkledij
https://www.sonora.be,Sonora,Computer & Multimedia
http://www.helt.be/webshop,HELT,Herenmode
https://www.be-cycle.com,Be cycle,"Vrije Tijd, Sport & Reizen"
https://www.exclusivewebshop.com/,Www.exclusivewebshop.com,Damesmode
https://www.shoplily.be/,Shoplily,"Mode, Schoenen & Juwelen"
http://www.optieksofie.shop,Optiek Sofie,Bril & Lenzen
http://www.noe-noe.be,Noe-Noe,"Baby, Kind & Speelgoed"
https://www.shop.pompola.be,Pompola,Cadeau & Inspiratie
https://www.lisamona.be/,LisaMona.be,Cadeau
https://www.ep-shop.be,"Expert, Exellent, EP-shop",Computer & Elektronica
http://www.smartphoto.be/nl/,Smartphoto,"Vrije Tijd, Sport & Reizen"
https://kleinebaas.be/,Kleine BAAS,Baby
https://www.fonzz.be/webshop/,fONNZ_,Cadeau & Inspiratie
https://closetoyourbody.lingeriestyling.be/,Close to your body,"Mode, Schoenen & Juwelen"
http://hondenkapsalonnaturelshop.posworld.be/,Hondenkapsalon Naturel Shop,Mooi & Gezond
http://www.ulbike.be/webshop,Ulbike,Vrije Tijd
https://www.allcamps.be,All camps,"Vrije Tijd, Sport & Reizen"
https://www.triado.shopsettings.com,triado.be,Stationary
https://www.buromas.be,Buromas Office Supplies,Kantoor
http://kousenonline.be,KOUSENonline.be,"Mode, Schoenen & Juwelen"
https://graziellaboelaertshop.posworld.be/,Graziella ,Verzorging
https://www.madandmoiselle.be,MAD&MOISELLE,Kinderkledij
https://thextratouch.be/,TheXtraTouch.be,Cadeau
https://flexprint.be/info/,Flexprint,Damesmode
https://www.boutiquemaison.be/,Boutique Maison,"Wonen, Koken & Huishouden"
http://www.little-moustache.be/,Little Moustache,"Baby, Kind & Speelgoed"
https://www.boozeplace.be,Boozeplace,Voeding & Drank
https://www.bigbillionaireclothing.com/,Big Billionaire Clothing,"Mode, Schoenen & Juwelen"
https://tc.tradetracker.net/?c=27283&m=12&a=121585&u=%2F,Studio 100,"Baby, Kind & Speelgoed"
https://www.zwembad.eu,Zwembad,"Tuin, Dier & Klussen"
https://hoodsandhoodies.com,Hoods&Hoodies,"Mode, Schoenen & Juwelen"
https://www.jacob-en-jacobien.com/,Jacob en Jacobien,"Baby, Kind & Speelgoed"
http://www.sanidepot.be,Sanidepot,"Tuin, Dier & Klussen"
https://www.Festibax.be,Festibax.be Steun de evenementensector met de FASTIBAX,Gadgets
https://www.kash-po.be,Kash-Po,Bloemen
https://www.3dprinthings.be,3DPrinthings,Computer & Elektronica
https://www.lumiereseries.com/nl/cinema-bij-je-thuis,Lumière Series,"Vrije Tijd, Sport & Reizen"
http://www.loresegers.eu/all,Lore Segers Jewels,Accessoires
https://www.manine-montessori.com/,Manine Montessori,"Baby, Kind & Speelgoed"
https://www.freshvintage.be,Fresh Vintage,Damesmode
http://www.zand-en-glitters.be,Zand en Glitters,"Baby, Kind & Speelgoed"
https://www.schoenenhandekyn.be,Schoenen Handekyn,Accessoires
https://zuiderhuis.be/,Zuiderhuis,"Vrije Tijd, Sport & Reizen"
https://www.fnac.be,Fnac,"Vrije Tijd, Sport & Reizen"
https://www.phytofer.com/,Phytofer,Tuin
https://www.purevinum.be/,PureVinum,Alcoholische drank
https://www.eldi.be,Eldi,Computer & Elektronica
https://www.t-toys-nazareth.be,T-Toys Nazareth,"Vrije Tijd, Sport & Reizen"
https://www.befitshop.be, Be Fit Menen,Voedingsupplementen
https://www.lolika.be,Lolika ,Baby
https://www.ballonnenshop.be/,Ballonnenshop,Cadeau & Inspiratie
https://www.vanmuldersshop.be,PA Van Mulders - De Knibber,Cadeau & Inspiratie
https://www.pelckmanspro.be/,Pelckmans Pro,Boeken & Strips 
https://www.ikea.be,IKEA,Kantoor
http://visjesenco.com/index.php/,Visjes & co,"Baby, Kind & Speelgoed"
https://www.rolutex.be/,Rolutex,Textiel
http://www.ericsocks.be/,Eric Socks,"Mode, Schoenen & Juwelen"
https://www.solyd.be,Solyd,"Tuin, Dier & Klussen"
https://tc.tradetracker.net/?c=19041&m=12&a=121585&u=%2F,Leen Bakker,Tuin
https://www.sanjoya.eu,Sanjoya,Cadeau
http://www.ericsocks.be,ericsocks.be,Herenmode
https://www.awash.be,Awash,Kinderkledij
https://feelgoodwines.be,feelgoodwines,Alcoholische drank
http://mongoose.store/,Mongoose store,"Baby, Kind & Speelgoed"
https://www.choufmoi.be,Choufmoi,"Wonen, Koken & Huishouden"
https://theministory.be/,the Mini story,"Baby, Kind & Speelgoed"
http://www.dimmar.be,Dimmar,Verzorging
https://www.agua.be/winkel/,Agua.be Waterlelies en Lotus,Tuin
https://ilmondodiveronica.be/,www.ilmondodiveronica.be,Cadeau & Inspiratie
https://www.veritas.be/,Veritas,"Wonen, Koken & Huishouden"
https://www.acelight.be/nl/,ACE Lighting,Verlichting
https://www.femmitude.be/,Femmitude,Damesmode
https://www.coriluswebshop.be/documents/home.xml?lang=nl,Corilus,Computer & Elektronica
https://www.lidl-shop.be/nl-BE/,Lidl,"Tuin, Dier & Klussen"
https://www.aesaert.be/work,Aesaert,"Mode, Schoenen & Juwelen"
https://www.eenhoorn.be/nl/,De Eenhoorn,"Vrije Tijd, Sport & Reizen"
http://www.aprilvisje.be/,Aprilvisje,"Baby, Kind & Speelgoed"
https://www.withloov.be/,Withloov,Cadeau & Inspiratie
https://www.brianto.be/tracking/tradetracker/redirect/?tt=31486_12_121585_&r=%2F,Brianto,Cadeau & Inspiratie
http://shop.maniet.be/nl/,Maniet,"Mode, Schoenen & Juwelen"
https://www.booksinbelgium.be/,Books in Belgium,"Vrije Tijd, Sport & Reizen"
https://www.bel-bo.be/,Bel&bo,"Mode, Schoenen & Juwelen"
https://www.klingel.be,Klingel,"Mode, Schoenen & Juwelen"
https://www.simonleveltleuven.be,Simonleveltleuven,Warme dranken
https://kabine.be,Kabine,"Baby, Kind & Speelgoed"
http://www.spaas.be,Spaas,"Wonen, Koken & Huishouden"
https://www.parure.eu,Parure Joaillerie,Accessoires
https://www.certifiedmask.eu,Certified Mask,Verzorging
https://tanterosa.be/,Tante Rosa,Mooi & Gezond
https://www.boekhandelpardoes.be/,Kinderboekhandel Pardoes,Speelgoed
http://www.transgroom.com/nl,Transgroom,"Tuin, Dier & Klussen"
https://paillasson.shop,Paillasson.shop,"Wonen, Koken & Huishouden"
https://shop.hairborist.com,Hairborist,Verzorging
https://www.elliotandostrich.com,Elliot & Ostrich,"Mode, Schoenen & Juwelen"
https://shop.livable.world,livable,"Wonen, Koken & Huishouden"
https://www.healthmate-winkel.be,Healthmate Infrarood,Vrije Tijd
https://franssen.shop,Franssen,"Mode, Schoenen & Juwelen"
https://www.waanzinniggedroomd.be,Waanzinnig gedroomd,"Baby, Kind & Speelgoed"
https://www.hoomed.be,Hoomed Interieurplatform,"Wonen, Koken & Huishouden"
https://berquinjewels.com/#shopify-section-featured-collections,Berquin,"Mode, Schoenen & Juwelen"
https://verocurtains.be,vero curtains,Textiel
https://www.mleuven.be/nl/beleefMdigitaal,M Leuven,"Design, ambacht & kunst"
http://mooigemaakt.be/,Mooigemaakt,Naaien & Breien
http://juggi.eu/,Juggi,Lifestyle
https://saniscout.be/,Saniscout,Sanitair
https://www.naileditbystien.com/,Nailed it!,Accessoires
https://www.unit14.be/nl/alle-producten,Unit 14,"Design, ambacht & kunst"
https://www.etikettenoprol.be,Etiketten op rol,Cadeau & Inspiratie
https://www.paperitis.be,Paperitis,Wenskaarten
https://www.livingdesign.be,Living design,"Wonen, Koken & Huishouden"
https://www.sacha.be/nl/,Sasha,"Mode, Schoenen & Juwelen"
